"linkName","link","price","currencyKM","status","city","size","numOfRooms","equipped","date","views","id","pricePerSquareMeter","numOfRooms2","cityShort","dateNew","count","cityCat","lat","long","country","capital","population","population_proper"
"- Komforan dvosoban stan na atraktivnoj lokaciji, Doboj","https://www.olx.ba/artikal/22735787/komforan-dvosoban-stan-na-atraktivnoj-lokaciji-doboj/",56930,TRUE,"korišteno","Doboj",62,"Dvosoban (2)","Nenamješten","26.08.2016.",51491,428,918.2258064516129,"2","Doboj","2016-08-26",22,"Others",44.7333,18.1333,"Bosnia And Herzegovina","minor",68514,68514
"Stan Hrvatska Brodski Stupnik","https://www.olx.ba/artikal/31189431/stan-hrvatska-brodski-stupnik/",45000,TRUE,"korišteno","Derventa",49,"Dvosoban (2)","Namješten","02.10.2018.",3936,1404,918.3673469387755,"2","Derventa","2018-10-02",4,"Others",44.98,17.91,"Bosnia And Herzegovina","minor",12680,12680
"Jednosoban stan u novoj gradnji! ID:1975/BN","https://www.olx.ba/artikal/50851666/jednosoban-stan-u-novoj-gradnji-id1975-bn/",38000,TRUE,"korišteno","Brčko",40,"Jednosoban (1)","Polunamješten","07.12.2022.",687,1435,950,"1","Brčko","2022-12-07",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"PRODAJE SE - STAN - UL. V KORPUSA - BIHAĆ","https://www.olx.ba/artikal/33440930/prodaje-se-stan-ul-v-korpusa-bihac/",95000,TRUE,"korišteno","Bihać",100,"Četverosoban (4)","Nenamješten","10.04.2019.",11974,3003,950,"4","Bihać","2019-04-10",17,"Others",44.8167,15.8667,"Bosnia And Herzegovina","minor",43007,43007
"Trosoban stan na I spratu u novoj gradnji ID:3340/DŠ","https://www.olx.ba/artikal/45282657/trosoban-stan-na-i-spratu-u-novoj-gradnji-id3340-ds/",70000,TRUE,"korišteno","Brčko",73,"Trosoban (3)","Namješten","02.11.2021.",6183,2139,958.9041095890411,"3","Brčko","2021-11-02",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan Jajce 56m2","https://www.olx.ba/artikal/46171099/stan-jajce-56m2/",54000,TRUE,"korišteno","Jajce",56,"Dvosoban (2)","Nenamješten","02.01.2022.",11981,3170,964.2857142857143,"2","Jajce","2022-01-02",1,"Others",44.3403,17.2572,"Bosnia And Herzegovina","minor",NA,NA
"Stan Čajniče","https://www.olx.ba/artikal/44423333/stan-cajnice/",60000,TRUE,"korišteno","Čajniče",62,"Dvosoban (2)","Namješten","27.08.2021.",2068,2380,967.741935483871,"2","Čajniče","2021-08-27",1,"Others",43.55,19.1667,"Bosnia And Herzegovina","minor",NA,NA
"DVOSOBAN STAN - VAREŠ","https://www.olx.ba/artikal/48524925/dvosoban-stan-vares/",50000,TRUE,"korišteno","Vareš",51,"Dvosoban (2)","Namješten","17.06.2022.",4668,1556,980.3921568627451,"2","Vareš","2022-06-17",7,"Others",44.1644,18.3283,"Bosnia And Herzegovina","minor",9556,9556
"Stan vares","https://www.olx.ba/artikal/49314856/stan-vares/",50000,TRUE,"korišteno","Vareš",51,"Dvosoban (2)","Nenamješten","18.08.2022.",843,3030,980.3921568627451,"2","Vareš","2022-08-18",7,"Others",44.1644,18.3283,"Bosnia And Herzegovina","minor",9556,9556
"-SRPSKA VAROŠ- Stan u kući površine 88m2 ID 3049/DŠ","https://www.olx.ba/artikal/35615543/srpska-varos-stan-u-kuci-povrsine-88m2-id-3049-ds/",106000,TRUE,"korišteno","Brčko",108,"Trosoban (3)","Nenamješten","21.10.2019.",4495,2769,981.4814814814815,"3","Brčko","2019-10-21",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Dvosoban stan površine 56m2! ID:1209/II","https://www.olx.ba/artikal/35189161/dvosoban-stan-povrsine-56m2-id1209-ii/",55000,TRUE,"korišteno","Brčko",56,"Dvosoban (2)","Nenamješten","16.09.2019.",10772,969,982.1428571428571,"2","Brčko","2019-09-16",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan u Janji 64/22","https://www.olx.ba/artikal/49556699/stan-u-janji-64-22/",55000,TRUE,"korišteno","Bijeljina",56,"Dvosoban (2)","Namješten","06.09.2022.",873,1001,982.1428571428571,"2","Bijeljina","2022-09-06",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan u Janji 56 m2","https://www.olx.ba/artikal/49571487/stan-u-janji-56-m2/",55000,TRUE,"korišteno","Bijeljina",56,"Dvosoban (2)","Nenamješten","07.09.2022.",475,2950,982.1428571428571,"2","Bijeljina","2022-09-07",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan, 65m2 Dobrinja suteren pretvoren u poslovni","https://www.olx.ba/artikal/41553616/stan-65m2-dobrinja-suteren-pretvoren-u-poslovni/",64000,TRUE,"korišteno","Sarajevo, Novi Grad",65,"Dvosoban (2)","Nenamješten","28.01.2021.",35422,145,984.6153846153846,"2","Sarajevo","2021-01-28",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Trosoban stan 76m2 na I spratu i ostava ID 3381/DŠ","https://www.olx.ba/artikal/33554623/trosoban-stan-76m2-na-i-spratu-i-ostava-id-3381-ds/",75000,TRUE,"korišteno","Brčko",76,"Trosoban (3)","Namješten","19.04.2019.",7445,1825,986.8421052631579,"3","Brčko","2019-04-19",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Prodajem stan","https://www.olx.ba/artikal/49679363/prodajem-stan/",51500,TRUE,"korišteno","Rogatica",52,"Jednoiposoban (1.5)","Nenamješten","15.09.2022.",1683,2911,990.3846153846154,"1.5","Rogatica","2022-09-15",1,"Others",43.7989,19.0036,"Bosnia And Herzegovina","minor",NA,NA
"Stan Sanski Most","https://www.olx.ba/artikal/49524306/stan-sanski-most/",81900,TRUE,"korišteno","Sanski Most",82,"Trosoban (3)","Polunamješten","03.09.2022.",3433,2972,998.780487804878,"3","Sanski Most","2022-09-03",2,"Others",44.7667,16.6667,"Bosnia And Herzegovina","minor",47359,47359
"Novo 4-soban stan 120 m2 sa garažom","https://www.olx.ba/artikal/51036081/novo-4-soban-stan-120-m2-sa-garazom/",120000,TRUE,"novo","Velika Kladuša",120,"Četverosoban (4)","Nenamješten","20.12.2022.",375,298,1000,"4","Velika Kladuša","2022-12-20",3,"Others",45.1667,15.8,"Bosnia And Herzegovina","minor",6902,6902
"Kuća STAN Novi GRAD BOSANSKI NOVI","https://www.olx.ba/artikal/50841978/kuca-stan-novi-grad-bosanski-novi/",170000,TRUE,"korišteno","Banjalučka, Novi Grad",170,"Petosoban i više","Namješten","06.12.2022.",813,345,1000,"5+","Sarajevo","2022-12-06",2,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"- Trosoban stan niže spratnosti, Brčko","https://www.olx.ba/artikal/34705066/trosoban-stan-nize-spratnosti-brcko/",105000,TRUE,"korišteno","Brčko",105,"Trosoban (3)","Polunamješten","01.08.2019.",10785,1032,1000,"3","Brčko","2019-08-01",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"PRODAJE SE STAN 50 m2, MRAMOR, TUZLA","https://www.olx.ba/artikal/37310952/prodaje-se-stan-50-m2-mramor-tuzla/",50000,TRUE,"korišteno","Tuzla",50,"Dvosoban (2)","Namješten","07.03.2020.",15503,1514,1000,"2","Tuzla","2020-03-07",199,"Big Cities",44.5381,18.6761,"Bosnia And Herzegovina","minor",110979,110979
"-CENTAR-Dvosoban stan površine 63m2 ID:3436/ZP","https://www.olx.ba/artikal/47659729/centar-dvosoban-stan-povrsine-63m2-id3436-zp/",63000,TRUE,"korišteno","Brčko",63,"Dvosoban (2)","Nenamješten","11.04.2022.",6501,1834,1000,"2","Brčko","2022-04-11",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Trosoban stan u Gacku","https://www.olx.ba/artikal/20665392/trosoban-stan-u-gacku/",86000,TRUE,"korišteno","Gacko",86,"Trosoban (3)","Namješten","10.02.2016.",11874,2186,1000,"3","Gacko","2016-02-10",3,"Others",43.1667,18.5333,"Bosnia And Herzegovina","minor",NA,NA
"Jednosoban stan u staroj gradnji! ID:1935/EN","https://www.olx.ba/artikal/49971645/jednosoban-stan-u-staroj-gradnji-id1935-en/",25000,TRUE,"korišteno","Brčko",25,"Jednosoban (1)","Namješten","07.10.2022.",2142,2416,1000,"1","Brčko","2022-10-07",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
