price,status,city,size,equipped,pricePerSquareMeter,cityShort,count,cityCat,capital,population,year,month,numOfRooms
110000,0,Travnik,72,2,1527.78,Travnik,20,Others,minor,53482,2022,8,3
185000,0,Vogosca,121,2,1528.93,Vogosca,102,Big Cities,minor,26343,2020,8,4
120000,0,Samac,78,2,1538.46,Samac,3,Others,minor,17273,2022,5,3
120000,0,Stari Grad,78,2,1538.46,Sarajevo,131,Sarajevo,primary,275524,2022,11,3
157000,0,Grad Mostar,102,0,1539.22,Grad Mostar,44,Big Cities,minor,105797,2021,7,3
68000,1,Brcko,44,0,1545.45,Brcko,199,Big Cities,admin,83516,2018,10,1
90000,0,Brcko,58,0,1551.72,Brcko,199,Big Cities,admin,83516,2022,11,2
90000,0,Brcko,58,0,1551.72,Brcko,199,Big Cities,admin,83516,2022,11,2
78000,0,Gorazde,50,0,1560,Gorazde,3,Others,minor,20897,2022,10,2
130000,0,Brcko,83.3,0,1560.62,Brcko,199,Big Cities,admin,83516,2017,1,3
89000,0,Prijedor,57,2,1561.4,Prijedor,19,Others,minor,89397,2022,7,2
150000,0,Trebinje,96,1,1562.5,Trebinje,16,Others,minor,29198,2022,12,3
100000,0,Novo Sarajevo,64,0,1562.5,Sarajevo,248,Sarajevo,primary,275524,2022,12,3
72000,0,Novi Travnik,46,2,1565.22,Novi Travnik,7,Others,minor,23832,2022,6,2
130000,0,Zenica,83,0,1566.27,Zenica,70,Big Cities,minor,110663,2022,10,3
185000,0,Visoko,118,1,1567.8,Visoko,3,Others,minor,39938,2022,8,4
69010,0,Brcko,44,0,1568.41,Brcko,199,Big Cities,admin,83516,2022,11,1
109900,0,Lukavica,70,2,1570,Lukavica,74,Big Cities,minor,7785,2022,10,3
100500,0,Brcko,64,1,1570.31,Brcko,199,Big Cities,admin,83516,2018,9,2
130000,0,Zenica,82.7,2,1571.95,Zenica,70,Big Cities,minor,110663,2022,9,4
85000,0,"Sarajevo, Novi Grad",54,0,1574.07,Sarajevo,291,Sarajevo,primary,275524,2022,12,3
85000,0,Pale,54,0,1574.07,Pale,15,Others,minor,20909,2022,11,2
